Gene,Half-life_TC1,Half-life_TC2,Half-life_TC3,Average_Half_Life
YNL191W,-5095155.453400164,110.20645148925075,,-2547522.623474337
YPR151C,29.530474401501948,-285293.3329686552,2198.2964591865434,-94355.16867835574
YPL186C,45.8311650576854,-116567.85757545484,39.79810449174104,-38827.40943530181
YBR228W,79.14388870338925,-42746.94576413869,54.42604209997442,-14204.458611111775
YGR248W,-5609.942040627078,,,-5609.942040627078
YIL136W,43.52964102550807,-14027.42263023549,63.961134952939794,-4639.977284752346
YKR015C,42.27669363748622,-10682.179084030193,44.31355371044288,-3531.8629455607547
YMR186W,116.92885473160236,-6524.923199266434,,-3203.9971722674154
YDR317W,-3007.2095823599184,,32.96027674777207,-1487.124652806073
YHL036W,212.8084952079888,-4787.187031055442,308.13821575484474,-1422.0801066975362
YBR072W,-1390.9770372086448,,,-1390.9770372086448
YER150W,-1249.2691832748371,,,-1249.2691832748371
YFL050C,-2368.643317488288,26.881731666148337,,-1170.88079291107
YBR126C,50.2148994671565,-3568.055011294769,97.91028713644884,-1139.976608230388
YPL281C,78.9624775770709,-3464.5982293785974,105.33042150727782,-1093.435110098083
YHL021C,58.0893399084158,,-2111.8326043076577,-1026.871632199621
YDR384C,28.67037384460359,-2910.987058838976,15.11776734810857,-955.7329725487548
YOR120W,55.49358838441665,,-1876.5835249659133,-910.5449682907484
YNL275W,32.152582426606415,130.23694629355464,-2686.285500257225,-841.2986571790212
YPL114W,25.004519387719444,-2565.246578789276,49.58697198505144,-830.2183624721683
YMR174C,60.44987140544443,-2634.157733018851,101.91210456333772,-823.9319190166897
YKL018W,22.3236587425787,-2497.289187624672,19.32197952191704,-818.5478497867256
YIR025W,-2516.448740499304,25.96148962919234,64.4950625761109,-808.6640627646669
YMR107W,30.26279511929205,-2893.157820287561,456.6573302556481,-802.0792316375404
YNL171C,54.46651151749924,30.374940207017247,-2480.4311400510724,-798.529896108852
YJL206C,38.558329992681024,-2131.098751245543,17.6821522632878,-691.6194229965248
YOL132W,-1436.241654153462,,77.21011533681016,-679.5157694083259
YMR112C,,-1275.5806591359133,16.65582727107616,-629.4624159324186
YPL272C,26.19858726304044,-1877.2624744162288,13.638394847571748,-612.4751641018721
YHR079C,6.867286726448012,-1846.6913237711503,9.298078653561909,-610.1753194637134
YMR136W,67.95418236792653,-1822.678528852296,23.38598661702021,-577.1127866224496
YGR179C,,-1148.3040344623591,12.74642494577105,-567.7788047582941
YOR298W,-541.4801883346561,,,-541.4801883346561
YJL089W,-1685.165336848714,97.04251105214205,24.424921743181404,-521.2326346844635
YDL190C,31.775293502898403,-1648.223620994944,70.38290762458067,-515.3551399558216
YKL011C,24.21454450281213,-317.95928788423487,-1057.5710751676047,-450.43860618300914
YOR379C,99.07252037830382,-1461.482132785565,87.10473341208564,-425.1016263317252
YML108W,18.4529982014339,-863.5243152080565,,-422.5356585033113
YLR366W,26.059058242380218,-1319.201317946951,76.68745249678895,-405.4849357359273
YOR027W,-389.8062224882459,,,-389.8062224882459
YPL161C,37.37710392034945,-1207.1841279769385,16.019355797116678,-384.59588941982406
YOR192C,57.15913516235343,-1138.453376859033,31.774122161986664,-349.8400398448976
YDR428C,116.82911472349583,-801.3449288417428,,-342.25790705912345
YDR153C,,-685.9703121935752,14.79255392982319,-335.588879131876
YPL106C,42.42175248662348,-1088.2286448101534,120.2547039837158,-308.51739611327133
YGL121C,31.73460161784113,-994.2346294674908,41.13095023654602,-307.12302587103454
YDR535C,-392.25697674704105,-557.6837122168088,34.669421828530204,-305.0904223784399
YJL207C,-616.1488663834498,,41.23818244383819,-287.4553419698058
YOL162W,-650.4747444791273,,86.36835024071381,-282.05319711920674
YOL085C,64.19169154704228,46.35721605780537,-946.5091317160624,-278.6534080370716
YLR091W,21.63074167820917,-821.6244825201695,19.18997477612101,-260.26792202194645
YHR079C-A,34.4163025883222,-826.6229526655911,28.65075310868037,-254.51863232286283
YHR021W-A,89.10035321174354,-897.1451999226448,44.897494597688805,-254.38245070440416
YKL050C,91.06563781253452,-872.0577060227994,39.15364060194143,-247.27947586944117
YMR323W,50.92607533587716,-911.05778114388,128.75425632494515,-243.79248316101925
YBR169C,-243.3424578137119,,,-243.3424578137119
YLL053C,24.043619654026035,-847.9763221985567,100.44563133818728,-241.16235706878112
YJL129C,7.615059339709214,-739.8070681205938,10.183573696708098,-240.66947836139215
YGR142W,42.43924330433771,-803.9408843819236,40.48935580339172,-240.33742842473137
YOR393W,116.6510243479163,-948.4792000465668,113.33307483939883,-239.4983669530839
YKL036C,121.703219952636,-1028.67445771456,202.7719705400363,-234.7330890739626
YBL075C,-227.186220197187,,,-227.186220197187
YOR044W,33.40110285929924,-724.903510446926,31.638989108038896,-219.95447282652927
YCL074W,162.80175549398774,-833.5579395354728,27.442916448841213,-214.43775586421464
YDL009C,44.431701117983046,-718.4627069102606,35.41300181986144,-212.8726679908054
YNL009W,74.8552388512993,-838.9922268880231,139.1666228105695,-208.3234550753848
YLR445W,50.75783831612892,,-446.18366633891264,-197.71291401139183
YDL039C,380.0611672337053,-1032.147155468668,67.02530175748674,-195.02022882582528
YMR104C,374.41552500442174,-276.0627452296826,-681.3339926805304,-194.3270709685971
YKL108W,27.84040370122729,-611.3512147699911,19.11733097247505,-188.13116003209623
YNR004W,59.52937237285797,-669.3755383731204,48.68153058396901,-187.0548784720978
YPR096C,82.88378009406932,-664.1385480220869,24.40970543099065,-185.6150208323423
YKR004C,43.786162350777246,-600.8110338513613,28.65470767569715,-176.12338794162898
YLR162W,51.96617934074524,260.01426044674605,-834.8022864936427,-174.27394890205048
YIL099W,67.8447472040612,-627.5923811383072,58.3426196997446,-167.13500474483382
YPR150W,54.390300037617344,-723.8977795305605,174.7673347941098,-164.9133815662778
YGR249W,38.65388357744935,-365.4880850411474,,-163.41710073184902
YPR068C,33.8194981517218,-529.7875081644694,26.42504611689544,-156.51432129861738
YMR304W,24.31835611304347,-513.2748453339468,26.80869431436104,-154.04926496884744
YJL048C,35.5099811730986,-535.7956038733126,40.35187160110718,-153.31125036636897
YBL064C,268.49240199506244,265.222711702103,-982.3761075877094,-149.55366463018132
YPR164W,31.282362315995904,-491.2870954167894,19.552537358081512,-146.81739858090398
YDL105W,-544.8907038179926,70.37062594917974,36.96712000262808,-145.85098595539495
YER098W,30.664611220123025,-522.9927480784925,57.62062633859967,-144.9025035065899
YJL042W,37.156544389493526,-506.630791362018,41.56469385099823,-142.6365177071754
YPL068C,24.69884546011228,-464.7768126030223,13.153519535173515,-142.30814920257882
YPL185W,112.39750350502732,-566.2667741214732,35.38477007661695,-139.4948335132763
YLR205C,96.97278532715586,-592.6662327934766,82.99517876263738,-137.5660895678945
YPR184W,59.952562607485525,,-332.25316821919614,-136.15030280585532
YDR403W,55.72169224078059,-495.30106183772506,34.41415671564884,-135.05507096043186
YOL159C,,-306.8671424096546,37.70111471577995,-134.58301384693732
YPR160W,75.67803632941462,,-343.4322961052728,-133.8771298879291
YER181C,97.73465275899002,-565.6494275270783,68.54365183462565,-133.12370764448755
YLR045C,17.27692105231653,-428.3847741335916,14.005540600746125,-132.36743749350964
YDR402C,23.59864407985124,-431.8541644703538,22.129576840230392,-128.70864785009073
YKL162C,78.00062387484917,-492.29024794461657,48.35736201884913,-121.97742068363942
YDR258C,239.33032016958964,,-477.9456946799487,-119.30768725517952
YBR116C,163.2989666886895,-627.2868089569948,108.294691549418,-118.56438357296246
YOR178C,,-187.8138821585047,-49.025880777230334,-118.41988146786753
YDR157W,,-255.82016220309083,21.389468672007848,-117.2153467655415
YIL059C,30.901195225742384,-421.9066341649821,40.1021062171706,-116.96777757402305
YMR173W,50.97510137590284,-512.6469231770377,111.28198179475466,-116.79661333546008
YOL001W,43.094634158114445,-411.7899104829701,20.01485765138692,-116.22680622448956
YDR074W,67.3402678577488,-190.81803146196745,-221.2324734278899,-114.90341234403616
YGL224C,-404.33976294963327,42.35505722486358,17.581566550268143,-114.80104639150052
YLR053C,61.49869691600871,,-286.88109885764555,-112.6912009708184
YMR251W-A,90.59485910482152,-278.61446162075066,-149.78040247915047,-112.60000166502653
YML054C,34.66118021842284,196.2081217736474,-556.6931222135973,-108.60794007384236
YEL064C,17.395631036357422,-351.4630912197568,12.05602191073764,-107.33714609088725
YCL048W,44.59951381045048,-413.8900955157392,56.54508503325047,-104.2484988906794
YDR097C,28.53392728753913,-340.8646232326847,3.52532811737356,-102.93512260925736
YPL166W,29.83354095344856,-395.0313433634872,57.7544602976668,-102.48111403745727
YDR531W,38.90233733624041,-233.347817622932,,-97.2227401433458
YGR010W,33.12130809724057,-328.2540710759148,10.842872993579832,-94.76329666169812
YKL109W,,-222.6746299577865,34.71446734523115,-93.98008130627768
YGL260W,0.0134503769237127,,-186.78805392885192,-93.3873017759641
YDR259C,,-230.15061530143456,51.90356896400496,-89.1235231687148
YHR140W,54.95134093379451,-611.8881046014683,291.03403741092217,-88.63424208558386
YDR290W,21.22482608166314,-299.4760492522328,12.577132620058949,-88.55803018350359
YGL081W,39.66675937239755,-215.8370685212075,,-88.08515457440498
YBL098W,-227.0801801402848,,50.94612628249109,-88.06702692889684
YNL019C,-400.8687952077611,116.33756201769624,31.98680772863248,-84.18147515381078
YOR028C,29.20445833936046,-435.5743726240439,156.40126273709762,-83.32288384919526
YPR141C,8.519849781034385,-251.0065880909692,7.174668733853375,-78.43735652536047
YER104W,283.6373303787483,-553.0645795537283,44.386381696106206,-75.01362249295794
YBL048W,28.037363893031493,-284.02560477118965,31.85666042763081,-74.71052681684246
YOL052C-A,51.14508060061881,,-198.4792252841561,-73.66707234176863
YJL204C,39.15425124015989,-278.2094542754543,18.155442372922234,-73.63325355412405
YPR193C,14.107279882134462,-268.23999778030094,33.29199704450908,-73.61357361788579
YDR066C,21.801609153794058,-274.4131525942635,32.720015233735765,-73.29717606891124
YKR067W,88.39280480571712,-338.23341995271414,33.135397965083385,-72.23507239397122
YCR036W,13.424740070575044,-245.1930253508755,21.896886525280035,-69.95713291834015
YJR098C,18.97540684082499,-246.39067038125265,21.13005987467945,-68.76173455524939
YMR271C,-273.8535395487633,24.915113860806382,45.55530527393666,-67.7943734713401
YNL160W,54.809720209958286,-321.90912409382645,66.07291729822481,-67.00882886188111
YKR023W,112.64962674765572,-318.5458045907999,4.976668924077471,-66.9731696396889
YHL024W,46.20390653411519,-516.4106399451632,275.6434722558452,-64.85442038506761
YAL011W,-484.9852642754143,280.4627986232231,16.444573514169853,-62.69263071267378
YLR346C,27.75225282061124,-233.2110821440624,24.894520251713327,-60.18810302391261
YIL172C,99.87218863124568,-358.04172612159266,80.3413808369993,-59.27605221778257
YPL192C,-304.1513776883677,95.23360995744522,36.91341428849679,-57.33478448080856
YJL030W,15.606425447692915,-199.02201263816244,13.44677967960324,-56.65626917028876
YMR322C,50.630430607378,-267.3059215518875,47.848303379103136,-56.27572918846878
YDR126W,30.911776822541,-215.08435151319864,20.775686777166428,-54.46562930449708
YDR446W,45.615317003070665,55.2529674859941,-261.00801477291026,-53.37991009461516
YOR255W,-179.44302217548903,,74.06900412431315,-52.68700902558794
YBL065W,33.04532968391436,-212.77989835931044,21.75362982213818,-52.66031295108596
YMR206W,78.8141947162773,24.934159930170697,-257.8965180274864,-51.382721127012815
YOR121C,55.47405855415767,-278.7159857503751,69.16472489328935,-51.359067434309374
YGL125W,25.869813066933784,-305.89024392995714,127.1316259804764,-50.96293496084899
YKR041W,49.49974170374279,-219.2285616932872,18.30911989095573,-50.47323336619622
YOR344C,27.95954181880688,-256.3455941882127,77.04826487849925,-50.445929163635526
YJL047C,44.89050365717475,-226.5920334985271,30.706774955369635,-50.33158496199423
YPL174C,58.279376317179626,-210.36375003729307,3.710650025731011,-49.45790789812747
YLR165C,43.02421110944993,-233.368998586892,42.73123067797476,-49.20451893315576
YER121W,50.07705924091619,-231.01232493406303,33.372898972159135,-49.18745557366257
YPL200W,29.244191466300784,-286.92753281256574,113.05577920031232,-48.209187381984215
YPL123C,,-172.312119634897,76.7274698963754,-47.7923248692608
YKL070W,35.2427637437216,-251.93131549425863,75.21868930815359,-47.15662081412781
YLR251W,31.929974689159693,-241.29282895563185,69.3419654401368,-46.67362960877845
YJL013C,17.500592388511624,-170.2132537102001,14.337581850359106,-46.125026490443126
YIR013C,-181.43746499076045,,96.39982232229023,-42.51882133423511
YML104C,,-104.85908169066887,21.79725818394851,-41.53091175336018
YGR164W,35.32775152530984,-225.7384521343593,80.01009752669079,-36.80020102745289
YDR201W,65.92741471857168,-172.3314873600076,4.423510464640738,-33.993520725598394
YMR196W,100.18739761469097,-241.1714225926612,43.98788383318741,-32.33204704826095
YDR125C,89.442213622857,-232.7692405765608,69.57016715606716,-24.58561993254555
YPL067C,22.75005512639955,-181.69828495500127,87.92759686385796,-23.67354432158125
YGL170C,172.40521898313918,-281.8368577958392,38.44780987941835,-23.66127631109389
YDR010C,38.24664402766819,-319.1351354023768,227.7306762686117,-17.719271702032312
YNL036W,139.77471625221807,,-174.2332265719387,-17.229255159860315
YGR066C,,-648.8345054188752,617.4814141570156,-15.676545630929809
YDL222C,32.15563468150855,145.29122221089156,-216.1824656065805,-12.911869571393462
YLR081W,-410.8018919041108,225.87843843910684,147.03992824996496,-12.627841738346328
YAL015C,-230.7433661021883,152.1653570846227,73.27544864400289,-1.7675201245208996
YPR202W,0.0138894644973565,0.0165697652654369,0.0207246377955061,0.0170612891860998
YHR218W,0.0252781269828083,0.0176809729058306,0.0280627638328235,0.0236739545738207
YHL049C,0.0223931902022622,0.0249512337491437,0.0435902171909598,0.0303115470474552
YEL075C,,0.0416056129533605,0.1210847498494947,0.0813451814014276
YNL188W,,,0.8337060595163129,0.8337060595163129
YLR463C,0.1300999586891053,0.8998352725834737,1.75381153450988,0.9279155885941528
YLR258W,260.30909996642134,-258.12264189676745,,1.0932290348269476
YFL065C,0.1486966052431567,1.901618165127985,1.4871484633653471,1.179154411245496
YEL076W-C,0.1360789610647292,1.4054032667695868,2.2594417214398623,1.2669746497580594
YER189W,2.699809802502521,0.1271422352914101,1.5592460947048854,1.4620660441662725
YDR280W,,,1.5206899502600988,1.5206899502600988
YLL065W,2.94638132720193,1.0258555109411542,1.1548064219618877,1.7090144200349906
YDR543C,0.8198024843125644,2.9697690562332584,,1.8947857702729116
YBL111C,1.397182935897943,2.5494469248191844,1.8580953011464736,1.934908387287867
YEL076C-A,1.7357538123510972,1.5869726302093965,2.552527498326929,1.9584179802958075
YPR204W,2.372018958318044,1.4647419843774088,2.634023286401603,2.156928076365685
YHR219W,3.5129933349187787,1.064497494227777,,2.288745414573278
YLR465C,4.296544696177446,1.0674269608808908,2.924754333696969,2.7629086635851023
YOR106W,,,2.8141952061266444,2.8141952061266444
YLL066C,3.2243969746666363,2.9324836444456284,3.15343066114668,3.103437093419648
YLR467W,3.805756450951346,2.055281386058298,3.6769440213395015,3.179327286116381
YJL223C,6.748482749602578,0.1169623216586167,3.0136188519270046,3.2930213077294
YDR088C,,,3.3192541507322195,3.3192541507322195
YKL113C,,,3.337676952321716,3.337676952321716
YFL066C,3.7832903409983647,2.667193980377266,3.655213497899999,3.3685659397585432
YLR462W,5.438211527715782,1.7522193134899997,3.405126143167561,3.5318523281244474
YFL063W,7.415609960624857,3.0735939358625632,0.159102757736299,3.549435551407907
YGR074W,,,3.579291400367929,3.579291400367929
YLL067C,4.910488913193162,2.767564745176631,3.1014839074051275,3.59317918859164
YBR301W,7.967643481164232,0.0265872436799863,2.9446141110438626,3.6462816119626935
YFL064C,0.0997723096762497,4.249379403159439,6.900108732149435,3.749753481661708
YOL019W,,2.564650103204799,5.156559706854187,3.860604905029493
YGL212W,,6.182643739046418,1.668570657901316,3.925607198473867
YPR203W,,2.8227406373465684,5.150994730218418,3.986867683782493
YCL025C,2.420975467970904,1.7296828626213523,7.885249079684274,4.011969136758844
YBR172C,,3.354634360157821,4.883143824034904,4.118889092096362
YHL038C,4.984943259381755,3.303926919384026,4.105987777427012,4.131619318730931
YFL067W,5.628722172988948,3.681935906029341,3.0864508558343577,4.132369644950882
YDR046C,,3.302666205375245,5.139728152048703,4.221197178711974
YGR143W,,5.77994991893197,2.924929799706045,4.352439859319008
YBR154C,,5.088217820061882,3.651459570466295,4.369838695264089
YHR054C,3.766305707018079,1.9204319341671816,7.651784427340818,4.446174022842026
YBR200W,,5.906501893230047,3.239559336632195,4.57303061493112
YBR158W,,3.3176899414644376,6.01803038610618,4.667860163785309
YLR464W,9.888806895622997,1.1900804889665664,2.961662643511425,4.680183342700329
YDR399W,,2.585646598603885,6.810431639986946,4.698039119295415
YDR197W,,,4.698726605558741,4.698726605558741
YOR310C,5.04097629036378,5.068051347470046,4.022875136446238,4.7106342580933545
YDL225W,,6.555056097616573,2.976995159607316,4.766025628611945
YDR362C,,4.609463860839552,4.925953228494635,4.7677085446670935
YLR197W,5.056343754645962,5.550584453891654,3.706718249291056,4.77121548594289
YBL042C,,2.789591954761121,6.7811755198201,4.78538373729061
YKL223W,10.592317179850411,0.1715439586072177,3.911686241919107,4.891849126792246
YFR034C,,3.213347666064825,6.633463374437148,4.923405520250986
YOL018C,,4.490582535167127,5.41339380851594,4.951988171841533
YHR084W,,4.667889387489048,5.386835796867321,5.027362592178184
YJL225C,6.427697625047821,4.015764764116836,4.727258846329966,5.056907078498209
YPL029W,,5.472823960569623,4.761422671659019,5.117123316114321
YBR291C,4.770200989780418,4.846124359241395,5.9508767001595535,5.1890673497271225
YBL016W,,6.270395529214956,4.127032722865317,5.198714126040136
YMR017W,,3.280465473087128,7.140595405749145,5.210530439418136
YGR076C,,6.286386200548768,4.254860520132049,5.270623360340409
YOL069W,,5.74320846530893,4.896882481289333,5.320045473299132
YPL256C,7.278573823013708,5.0491588381917865,3.729116670773457,5.352283110659651
YFL068W,4.073527669524688,5.483447349035973,6.563982009264747,5.3736523426084695
YPR187W,,5.21216572866038,5.619593251886995,5.415879490273687
YCR046C,,5.940614693754896,4.892666255001688,5.416640474378292
YBL113C,9.079568432886015,3.391170642616508,3.807517358194408,5.426085477898977
YLR103C,,,5.446636886086663,5.446636886086663
YIL061C,,7.919371463741467,2.9826806397607126,5.45102605175109
YLR332W,,3.719380419368618,7.290674087223488,5.505027253296053
YNL232W,,4.36579719878844,6.693505473068679,5.529651335928559
YGR080W,,6.797615234941979,4.346057095815631,5.571836165378805
YPR034W,,6.798891677466922,4.385639615775396,5.59226564662116
YDL167C,8.38211513913258,4.146828529308013,4.401837960119157,5.643593876186583
YMR270C,,4.467410964982457,6.8216211197241305,5.644516042353294
YLR440C,,5.944808306405937,5.401960834875537,5.673384570640737
YPL255W,,6.963694440217217,4.518513901446625,5.741104170831921
YJL148W,6.139956096154277,,5.34462840636535,5.742292251259814
YDL111C,,5.789871215341347,5.721880673583862,5.755875944462605
YLR413W,6.767818746581739,3.308189286304648,7.196837255905724,5.757615096264037
YGL078C,,4.999008047729864,6.520188948248773,5.759598497989319
YLR175W,6.483170324687259,5.0579484675966135,5.765362800935225,5.768827197739699
YBR010W,6.951902316665459,5.568454416413632,4.822155212454982,5.780837315178023
YPR120C,9.32867137040426,2.539453042669501,5.479525341294249,5.78254991812267
YDL207W,,5.320740990545428,6.370647542678266,5.845694266611847
YDR156W,,5.309716112083409,6.514175248457693,5.911945680270551
YEL077C,,4.944228456417389,6.8833509147097445,5.913789685563566
YHR170W,8.217845770439162,5.121367793560586,4.407199394701432,5.915470986233728
YKR024C,,5.267457017727332,6.608150696303277,5.937803857015304
YDR369C,,,5.943351866719574,5.943351866719574
YMR167W,,7.293470380610012,4.612168036599032,5.952819208604522
YDR496C,,3.9319426624209335,8.009123527982805,5.970533095201869
YER112W,9.320093621871326,5.210642697490688,3.437919369342945,5.989551896234986
YNL030W,7.442099308165898,5.558277244930988,5.012732722710716,6.004369758602533
YOL021C,4.627701976880847,7.794524737792292,5.71782317721367,6.046683297295604
YBR060C,,7.262909508827462,4.890006217180424,6.076457863003943
YCL030C,4.404486198766292,2.75397218103251,11.08004550820114,6.07950129599998
YNL329C,,5.830624530928471,6.367206230442519,6.098915380685495
YER190W,7.209589765027175,,5.009349088922812,6.109469426974993
YKL177W,,5.44996787967433,6.820393969797522,6.135180924735926
YBR202W,,5.013753185056342,7.294008204147207,6.153880694601774
YNR077C,10.926106929010386,3.8333372925203584,3.789420909680506,6.182955043737084
YOR056C,6.984134813331017,4.564877856496058,7.01070810677842,6.186573592201832
YHR069C,,6.231148186533133,6.143176593103497,6.187162389818315
YEL076C,13.374824640017462,1.7456801748161863,3.4681819674868644,6.1962289274401705
YGL028C,10.872947035366243,2.728355071617691,4.994142962705601,6.198481689896511
YNL031C,5.889744815192804,5.879911078349782,6.902286048778561,6.223980647440382
YIR008C,,,6.234175491872019,6.234175491872019
YDL017W,,7.106104647855971,5.38630296689906,6.246203807377516
YNL317W,,8.256804037444432,4.269268671535634,6.263036354490033
YIL177C,9.329581202380378,4.596682895569348,4.933018394995829,6.286427497648518
YDL070W,9.137010826135668,3.3270253573268573,6.447718017948957,6.303918067137161
YDR225W,,6.758954186797674,5.867244469934026,6.31309932836585
YDR449C,,3.272889405304698,9.359375090102503,6.3161322477036
YDL131W,6.050775449646524,6.61138388442267,,6.331079667034597
YOR145C,,4.782821983090718,7.899259868120141,6.34104092560543
YJL122W,8.948063481693255,3.3147612244265563,6.816920575577731,6.35991509389918
YBL081W,,4.338337492032692,8.555195758064961,6.446766625048827
YDL208W,,4.376375405423486,8.537692488150727,6.4570339467871065
YKL178C,4.0115699420602855,5.674699464992084,9.804432746853353,6.496900717968575
YBR294W,4.574729226846797,,8.498262401320106,6.536495814083452
YGR103W,6.249314842360298,4.423461589834709,8.976536818512963,6.549771083569323
YGR056W,6.76765831318195,5.458766875582974,7.515513113444438,6.580646100736455
YGL114W,10.724357923344089,3.5611954964643484,5.4877968498438,6.591116756550746
YLR026C,7.2520460299361424,8.398979001374714,4.14816318312793,6.599729404812929
